year,state_name,avg_temp_f,total_precip_inches,gdd_total,days_count
2011,SOUTH CAROLINA,65.3,26.24,2071,183
2012,SOUTH CAROLINA,68.3,16.47,2216,183
2013,SOUTH CAROLINA,67.7,26.0,1821,183
2014,SOUTH CAROLINA,65.8,16.93,2082,183
2015,SOUTH CAROLINA,69.8,21.78,2074,183
2016,SOUTH CAROLINA,69.5,18.98,2221,183
2017,SOUTH CAROLINA,67.4,15.81,1739,183
2018,SOUTH CAROLINA,65.8,21.66,2185,183
2019,SOUTH CAROLINA,68.1,17.98,2227,183
2020,SOUTH CAROLINA,65.8,33.63,2026,183
2021,SOUTH CAROLINA,66.0,34.81,2006,183
2022,SOUTH CAROLINA,68.6,25.15,2221,183
2023,SOUTH CAROLINA,68.2,29.17,2006,183
2024,SOUTH CAROLINA,67.8,15.33,2039,183
2010,SOUTH DAKOTA,69.0,34.6,2297,183
2011,SOUTH DAKOTA,66.8,32.98,1727,183
2012,SOUTH DAKOTA,68.6,20.31,2292,183
2013,SOUTH DAKOTA,68.5,29.43,2297,183
2014,SOUTH DAKOTA,67.9,25.48,2089,183
2015,SOUTH DAKOTA,65.9,28.61,1732,183
2016,SOUTH DAKOTA,68.4,29.01,1895,183
2017,SOUTH DAKOTA,65.1,21.27,1855,183
2018,SOUTH DAKOTA,67.5,19.08,2213,183
2019,SOUTH DAKOTA,69.6,33.41,1763,183
2020,SOUTH DAKOTA,69.2,25.37,2274,183
2021,SOUTH DAKOTA,67.0,28.24,2238,183
2022,SOUTH DAKOTA,67.3,34.13,2170,183
2023,SOUTH DAKOTA,70.5,21.85,2062,183
2024,SOUTH DAKOTA,69.1,32.35,1970,183
2010,TENNESSEE,68.7,18.85,1952,183
2011,TENNESSEE,66.7,20.97,2004,183
2012,TENNESSEE,69.6,29.1,2200,183
2013,TENNESSEE,66.9,21.98,1980,183
2014,TENNESSEE,66.7,26.47,2256,183
2015,TENNESSEE,67.3,34.6,2053,183
2016,TENNESSEE,70.7,31.09,1997,183
2017,TENNESSEE,65.3,34.11,1780,183
2018,TENNESSEE,67.1,23.85,1962,183
2019,TENNESSEE,69.5,19.28,2251,183
2020,TENNESSEE,66.6,26.24,1978,183
2021,TENNESSEE,65.8,27.31,2300,183
2022,TENNESSEE,66.4,16.02,2243,183
2023,TENNESSEE,66.4,19.66,1802,183
2024,TENNESSEE,67.5,29.35,1802,183
2010,TEXAS,69.1,17.75,2263,183
2011,TEXAS,70.9,18.16,2187,183
2012,TEXAS,67.9,18.99,1994,183
2013,TEXAS,66.9,27.92,1791,183
2014,TEXAS,68.9,19.64,1738,183
2015,TEXAS,70.5,18.5,1880,183
2016,TEXAS,70.6,15.73,2106,183
2017,TEXAS,69.7,18.73,1996,183
2018,TEXAS,70.3,15.19,2281,183
2019,TEXAS,68.6,33.57,2043,183
2020,TEXAS,66.7,34.78,2256,183
2021,TEXAS,68.1,32.79,1837,183
2022,TEXAS,70.1,24.36,1897,183
2023,TEXAS,69.9,21.61,2169,183
2024,TEXAS,68.9,29.37,1714,183
2010,UTAH,69.4,30.82,2281,183
2011,UTAH,69.0,18.86,2115,183
2012,UTAH,70.0,25.31,1788,183
2013,UTAH,67.4,16.91,1843,183
2014,UTAH,67.9,33.72,1706,183
2015,UTAH,66.6,19.71,1973,183
2016,UTAH,70.7,21.04,2286,183
2017,UTAH,65.1,28.07,1941,183
2018,UTAH,65.4,17.36,2014,183
2019,UTAH,66.0,28.72,2018,183
2020,UTAH,69.1,27.77,2002,183
2021,UTAH,67.2,19.42,1836,183
2022,UTAH,67.9,24.1,2082,183
2023,UTAH,67.5,25.98,2182,183
2024,UTAH,69.5,31.04,1923,183
2010,VERMONT,69.6,28.61,1783,183
2011,VERMONT,68.2,25.56,2070,183
2012,VERMONT,65.5,26.28,1763,183
2013,VERMONT,70.0,33.06,1907,183
2014,VERMONT,68.4,18.0,2035,183
2015,VERMONT,70.1,23.84,1910,183
2016,VERMONT,69.3,24.78,2222,183
2017,VERMONT,67.7,16.11,1835,183
2018,VERMONT,68.1,24.14,1759,183
2019,VERMONT,68.4,28.46,2015,183
2020,VERMONT,69.3,22.92,1703,183
2021,VERMONT,69.5,26.57,1746,183
2022,VERMONT,67.5,29.01,2254,183
2023,VERMONT,71.0,33.69,1770,183
2024,VERMONT,70.9,24.44,1993,183
2010,VIRGINIA,67.5,30.38,2130,183
2011,VIRGINIA,67.2,32.83,2159,183
2012,VIRGINIA,70.2,33.14,2084,183
2013,VIRGINIA,65.5,34.28,2252,183
2014,VIRGINIA,65.8,32.21,1821,183
2015,VIRGINIA,66.1,25.75,2241,183
2016,VIRGINIA,65.8,34.57,1703,183
2017,VIRGINIA,69.5,34.57,2174,183
2018,VIRGINIA,69.0,25.89,2244,183
2019,VIRGINIA,67.3,19.59,2171,183
2020,VIRGINIA,67.1,20.51,1815,183
2021,VIRGINIA,65.2,28.2,1716,183
2022,VIRGINIA,66.4,16.35,1734,183
2023,VIRGINIA,67.7,28.44,1749,183
2024,VIRGINIA,66.5,15.88,2149,183
2010,WASHINGTON,66.4,19.35,1757,183
2011,WASHINGTON,65.8,34.87,1939,183
2012,WASHINGTON,69.9,29.63,2026,183
2013,WASHINGTON,68.5,30.45,2028,183
2014,WASHINGTON,66.4,32.53,2233,183
2015,WASHINGTON,66.3,21.01,1762,183
2016,WASHINGTON,68.3,26.83,1879,183
2017,WASHINGTON,68.8,23.54,2207,183
2018,WASHINGTON,65.3,21.89,2090,183
2019,WASHINGTON,69.7,21.37,2126,183
2020,WASHINGTON,67.4,21.0,1888,183
2021,WASHINGTON,69.5,24.47,1930,183
2022,WASHINGTON,66.8,29.15,2174,183
2023,WASHINGTON,70.5,26.25,2126,183
2024,WASHINGTON,68.3,17.68,1948,183
2010,WEST VIRGINIA,66.5,21.61,1780,183
2011,WEST VIRGINIA,70.5,31.94,1794,183
2012,WEST VIRGINIA,68.2,31.59,1752,183
2013,WEST VIRGINIA,66.6,28.47,1740,183
2014,WEST VIRGINIA,70.2,18.76,2272,183
2015,WEST VIRGINIA,66.3,19.18,2040,183
2016,WEST VIRGINIA,66.8,33.18,1916,183
2017,WEST VIRGINIA,70.6,34.24,1820,183
2018,WEST VIRGINIA,69.5,30.09,1948,183
2019,WEST VIRGINIA,69.2,29.08,2106,183
2020,WEST VIRGINIA,70.5,26.04,1989,183
2021,WEST VIRGINIA,67.3,25.67,2067,183
2022,WEST VIRGINIA,66.9,22.19,2209,183
2023,WEST VIRGINIA,67.8,31.06,2180,183
2024,WEST VIRGINIA,69.6,21.4,1908,183
2010,WISCONSIN,67.2,23.28,2276,183
2011,WISCONSIN,70.2,29.83,1716,183
2012,WISCONSIN,66.6,33.7,2293,183
2013,WISCONSIN,69.3,20.9,1900,183
2014,WISCONSIN,67.0,22.6,1951,183
2015,WISCONSIN,68.0,28.09,2045,183
2016,WISCONSIN,66.5,31.43,2202,183
2017,WISCONSIN,67.8,29.66,2060,183
2018,WISCONSIN,66.0,29.41,2200,183
2019,WISCONSIN,66.1,32.79,1760,183
2020,WISCONSIN,68.1,31.78,1776,183
2021,WISCONSIN,70.7,28.36,1706,183
2022,WISCONSIN,67.5,31.85,1936,183
2023,WISCONSIN,65.4,18.02,1923,183
2024,WISCONSIN,68.0,22.46,2194,183
2010,WYOMING,69.0,15.31,2244,183
2011,WYOMING,68.3,15.24,2242,183
2012,WYOMING,69.3,25.71,1993,183
2013,WYOMING,65.1,31.26,2140,183
2014,WYOMING,69.8,33.2,1809,183
2015,WYOMING,70.5,25.49,1946,183
2016,WYOMING,66.2,25.53,2062,183
2017,WYOMING,66.6,22.94,2082,183
2018,WYOMING,70.8,24.18,1949,183
2019,WYOMING,70.9,19.52,1782,183
2020,WYOMING,68.9,32.16,1732,183
2021,WYOMING,65.6,22.59,2265,183
2022,WYOMING,67.9,27.73,1875,183
2023,WYOMING,65.5,31.91,2039,183
2024,WYOMING,68.4,32.16,1797,183
